Plant,Treatment,Diameter,Viable Seeds,Aborted,Total,Ratio
2,Bag,2.9,268,488,756,0.354497354
4,Bag,,73,161,234,0.311965812
7,Bag,2.9,227,204,431,0.526682135
9,Bag,,0,300,300,0
10,Bag,2.4,405,0,405,1
11,Bag,,154,293,447,0.344519016
12,Bag,,0,232,232,0
4,Control,,213,53,266,0.80075188
5,Control,,344,29,373,0.922252011
6,Control,,156,53,209,0.746411483
7,Control,3.3,202,220,422,0.478672986
9,Control,,155,43,198,0.782828283
17,Control,,485,62,547,0.886654479
19,Control,3.1,298,153,451,0.66075388
20,Control,2.4,243,488,731,0.332421341
1,Supplement,3.4,330,339,669,0.493273543
6,Supplement,1.5,291,37,328,0.887195122
9,Supplement,,317,0,317,1
10,Supplement,2.8,392,1,393,0.997455471
11,Supplement,3.4,219,37,256,0.85546875
12,Supplement,2.5,62,183,245,0.253061224
13,Supplement,2.4,264,65,329,0.802431611
14,Supplement,3.4,187,0,187,1
18,Supplement,3.1,362,438,800,0.4525
20,Supplement,,570,137,707,0.806223479
