"plant_sp","date","n_obs","insect_sp"
"AchMil","13-Jul-17",2,"isp_1"
"AchMil","13-Jul-17",1,"isp_2"
"AchMil","13-Jul-17",1,"isp_3"
"AchMil","13-Jul-17",1,"isp_4"
"AchMil","13-Jul-17",1,"isp_5"
"AchMil","13-Jul-17",1,"isp_6"
"AchMil","13-Jul-17",1,"isp_6"
"AchMil","13-Jul-17",1,"isp_6"
"AchMil","13-Jul-17",1,"isp_7"
"AchMil","13-Jul-17",15,"isp_8"
"AchMil","13-Jul-17",1,"isp_9"
"AchMil","13-Jul-17",1,"isp_9"
"AchMil","13-Jul-17",1,"isp_9"
"AchMil","13-Jul-17",1,"isp_10"
"AchMil","13-Jul-17",1,"isp_11"
"AchMil","13-Jul-17",2,"isp_12"
"AchMil","13-Jul-17",1,"isp_13"
"AchMil","13-Jul-17",1,"isp_14"
"AchMil","13-Jul-17",1,"isp_15"
"AchMil","13-Jul-17",1,"isp_16"
"ArnMon","07-Jul-17",52,"isp_1"
"ArnMon","07-Jul-17",1,"isp_8"
"ArnMon","07-Jul-17",1,"isp_8"
"ArnMon","07-Jul-17",1,"isp_8"
"ArnMon","07-Jul-17",1,"isp_17"
"ArnMon","07-Jul-17",17,"isp_17"
"ArnMon","07-Jul-17",1,"isp_18"
"ArnMon","11-Jul-17",2,"isp_18"
"ArnMon","07-Jul-17",14,"isp_19"
"ArnMon","07-Jul-17",1,"isp_11"
"ArnMon","13-Jul-17",1,"isp_13"
"ArnMon","07-Jul-17",1,"isp_20"
"AstMaj","12-Jul-17",3,"isp_8"
"AstMaj","10-Jul-17",11,"isp_8"
"AstMaj","10-Jul-17",11,"isp_8"
"AstMaj","10-Jul-17",11,"isp_8"
"AstMaj","10-Jul-17",4,"isp_14"
"AstMaj","10-Jul-17",1,"isp_21"
"AstMaj","12-Jul-17",1,"isp_22"
"AstMaj","10-Jul-17",1,"isp_22"
"CamPer","10-Jul-17",3,"isp_23"
"CamPer","11-Jul-17",8,"isp_23"
"CamPer","10-Jul-17",5,"isp_24"
"CamPer","10-Jul-17",1,"isp_25"
"CamPer","11-Jul-17",1,"isp_26"
"CamPer","11-Jul-17",1,"isp_27"
"CamPer","10-Jul-17",1,"isp_28"
"CamPer","11-Jul-17",1,"isp_13"
"CamPer","11-Jul-17",1,"isp_13"
"CamSer","11-Jul-17",1,"isp_23"
"CamSer","11-Jul-17",1,"isp_29"
"CamSer","11-Jul-17",1,"isp_30"
"CamSer","12-Jul-17",1,"isp_24"
"CamSer","12-Jul-17",2,"isp_24"
"CamSer","12-Jul-17",2,"isp_24"
"CamSer","11-Jul-17",7,"isp_24"
"CamSer","11-Jul-17",9,"isp_24"
"CamSer","11-Jul-17",1,"isp_31"
"CenAus","10-Jul-17",21,"isp_23"
"CenAus","12-Jul-17",1,"isp_32"
"CenAus","10-Jul-17",1,"isp_32"
"CenAus","12-Jul-17",1,"isp_33"
"CenAus","11-Jul-17",1,"isp_30"
"CenAus","12-Jul-17",1,"isp_30"
"CenAus","10-Jul-17",2,"isp_30"
"CenAus","12-Jul-17",2,"isp_30"
"CenAus","11-Jul-17",1,"isp_24"
"CenAus","10-Jul-17",2,"isp_24"
"CenAus","12-Jul-17",5,"isp_24"
"CenAus","12-Jul-17",6,"isp_24"
"CenAus","10-Jul-17",1,"isp_8"
"CenAus","10-Jul-17",1,"isp_8"
"CenAus","11-Jul-17",1,"isp_9"
"CenAus","11-Jul-17",1,"isp_9"
"CenAus","12-Jul-17",1,"isp_18"
"CenAus","12-Jul-17",1,"isp_18"
"CenAus","12-Jul-17",4,"isp_18"
"CenAus","10-Jul-17",1,"isp_34"
"CenAus","11-Jul-17",1,"isp_35"
"CenAus","10-Jul-17",1,"isp_35"
"CenAus","10-Jul-17",1,"isp_35"
"CirEri","11-Jul-17",1,"isp_23"
"CirEri","12-Jul-17",1,"isp_23"
"CirEri","11-Jul-17",2,"isp_23"
"CirEri","11-Jul-17",2,"isp_36"
"CirEri","11-Jul-17",5,"isp_36"
"CirEri","12-Jul-17",13,"isp_36"
"CirEri","11-Jul-17",1,"isp_30"
"CirEri","11-Jul-17",2,"isp_30"
"CirEri","12-Jul-17",2,"isp_30"
"CirEri","12-Jul-17",3,"isp_30"
"CirEri","11-Jul-17",5,"isp_24"
"CirEri","12-Jul-17",10,"isp_24"
"CirEri","12-Jul-17",10,"isp_24"
"CirEri","11-Jul-17",15,"isp_24"
"CirEri","11-Jul-17",1,"isp_37"
"CirEri","11-Jul-17",1,"isp_9"
"CirEri","11-Jul-17",1,"isp_38"
"DiaCar","11-Jul-17",2,"isp_39"
"DiaCar","10-Jul-17",1,"isp_37"
"DiaCar","11-Jul-17",1,"isp_40"
"DiaCar","11-Jul-17",3,"isp_8"
"DiaCar","13-Jul-17",4,"isp_8"
"DiaCar","11-Jul-17",1,"isp_9"
"DiaCar","10-Jul-17",1,"isp_38"
"DiaCar","13-Jul-17",1,"isp_26"
"DiaCar","10-Jul-17",1,"isp_18"
"DiaCar","13-Jul-17",4,"isp_18"
"DiaCar","11-Jul-17",10,"isp_18"
"DiaCar","10-Jul-17",1,"isp_19"
"DiaCar","13-Jul-17",1,"isp_41"
"DiaCar","13-Jul-17",1,"isp_42"
"DiaCar","11-Jul-17",1,"isp_13"
"DiaCar","10-Jul-17",1,"isp_16"
"DiaCar","12-Jul-17",1,"isp_20"
"DiaCar","13-Jul-17",2,"isp_20"
"DiaCar","11-Jul-17",7,"isp_20"
"EupRos","13-Jul-17",1,"isp_8"
"EupRos","13-Jul-17",1,"isp_9"
"EupRos","13-Jul-17",1,"isp_43"
"EupRos","12-Jul-17",1,"isp_13"
"EupRos","13-Jul-17",1,"isp_13"
"EupRos","13-Jul-17",8,"isp_13"
"galalb","13-Jul-17",1,"isp_2"
